seed,pin_set,shoreline-development,hypsometric-bimodality,shelf-fraction,continent-count,largest-continent-share,plate-size-gini,landmass-count,refusal
1308,default,7.5839934,2.8542322,0.057419071,7,0.23034871,0.65460893,39,
1309,default,7.6638128,2.9654228,0.050070797,13,0.18341236,0.77921814,41,
1310,default,6.7768458,3.4292576,0.045017333,11,0.2052997,0.70806915,34,
1311,default,6.520519,3.1896481,0.05009521,6,0.54898397,0.79415068,33,
1312,default,6.2132617,3.6991038,0.037058737,8,0.31363599,0.6733913,21,
1313,default,5.6252845,3.6788698,0.039841805,7,0.17808647,0.71039873,29,
1314,default,7.2151471,3.1536462,0.046360041,11,0.18730498,0.65707984,40,
1315,default,7.0355923,3.2039398,0.061642498,9,0.26453416,0.61135687,34,
1316,default,5.7790916,3.6122573,0.0411601,9,0.39345548,0.74652523,25,
1317,default,6.2617715,3.7893717,0.047995703,6,0.32583251,0.76173527,21,
1318,default,7.6197161,2.9879385,0.052707387,10,0.18615126,0.64843589,70,
1319,default,7.3406689,3.163539,0.054220985,11,0.34576369,0.56927152,39,
1320,default,6.7538924,3.6458877,0.03657048,8,0.30283394,0.77695588,26,
1321,default,7.3951574,3.1069,0.052072653,6,0.34399715,0.67173613,27,
1322,default,6.1183533,3.9426183,0.034959231,8,0.33354857,0.80093996,17,
1323,default,7.0371752,3.0767428,0.060373029,2,0.49705927,0.63032637,26,
1324,default,7.6002559,3.00273,0.051608808,12,0.27656825,0.80961695,54,
1325,default,8.4963005,3.104596,0.05502661,10,0.20450195,0.6956565,62,
1326,default,6.3023674,3.5139167,0.043088716,9,0.19657495,0.72568928,25,
1327,default,6.3612716,3.5870651,0.05204824,6,0.49043163,0.44862922,20,
1328,default,7.2144,3.2675969,0.046726234,8,0.47876391,0.74831358,29,
1329,default,6.6305807,2.8863885,0.056222841,9,0.21748651,0.78563246,30,
1330,default,6.1726689,3.5774499,0.046921537,11,0.16143635,0.43396807,31,
1331,default,7.1285473,3.2655963,0.045212636,10,0.2952846,0.74488719,33,
1332,default,6.4214208,3.1816848,0.047360969,7,0.3936902,0.60705369,28,
1333,default,6.8624325,3.3437036,0.049143108,4,0.44321979,0.83604927,22,
1334,default,6.7598909,3.1937328,0.051315854,7,0.34157901,0.63853999,24,
1335,default,6.4066827,3.3213152,0.04626239,7,0.33548315,0.64903752,22,
1336,default,7.2999908,2.7474753,0.058102632,13,0.50135326,0.56706758,31,
1337,default,6.2315627,3.1713707,0.054391875,4,0.67544975,0.58753346,22,
1338,default,6.5098421,2.8535222,0.055270739,8,0.48851541,0.71142508,33,
1339,default,8.0996858,2.9999566,0.062863141,6,0.39111624,0.79027031,38,
1340,default,7.5829502,2.7859507,0.058712953,8,0.30063203,0.48606025,44,
