seed,pin_set,granary-raid-phase-concentration,granary-raids-in-depleted-half,refusal
189,default,0.85006617,0.81818182,
190,default,0.91499065,0.58823529,
191,default,0.95867178,0.038235294,
192,default,0.91778646,0.52608696,
193,default,0.86289546,0.6350365,
194,default,0.94123794,0.029090909,
195,default,0.93514515,0.91176471,
196,default,0.94376201,0.53826531,
197,default,0.99484124,0.72,
198,default,0.88265642,0.54201681,
199,default,0.94876604,0.65151515,
200,default,0.936136,0.74774775,
201,default,0.93319209,0.77205882,
202,default,0.86304635,0.93096234,
203,default,0.88211173,0.82198953,
204,default,0.93287341,0.33962264,
205,default,0.93420067,0.33793103,
206,default,0.910676,0.97087379,
207,default,0.87496551,0.19607843,
208,default,0.98971126,0.16666667,
209,default,0.91172803,0.81008902,
210,default,0.93666367,0.14824121,
211,default,0.9180537,0.88934426,
212,default,1,0.46428571,
213,default,0.90688312,0.23045267,
214,default,0.91479801,0.078947368,
215,default,0.93195335,0.38133874,
216,default,0.90947659,0.77714286,
217,default,0.92400513,0.1978022,
218,default,0.95561256,0.30107527,
219,default,0.96089235,0.18589744,
220,default,0.89204914,0.71100917,
221,default,0.94970752,0.18518519,
222,default,0.92412429,0.69444444,
223,default,0.97942594,0.8697479,
224,default,0.9096129,0.26870748,
225,default,0.94607702,0.18356164,
226,default,0.88624732,0.37362637,
227,default,0.87798639,0.72727273,
228,default,0.93665411,0.10344828,
229,default,0.9496078,0.01758794,
230,default,0.90730072,0.44134078,
231,default,0.94666845,0.56048387,
232,default,0.91799629,0.75151515,
233,default,0.90324902,0.21111111,
234,default,0.903632,0.24014337,
235,default,0.89631289,0.65979381,
236,default,0.90196105,0.27731092,
237,default,0.92442623,0.36923077,
238,default,0.93779896,0.6187291,
239,default,0.9306862,0.29268293,
240,default,0.94232827,0.42827869,
241,default,0.95216136,0.43081761,
242,default,0.88902902,0.70149254,
243,default,1,0.22222222,
244,default,0.87029473,0.74637681,
245,default,0.90412967,0.92105263,
246,default,0.88083173,0.94764398,
247,default,0.94487629,0.083061889,
248,default,0.92184451,0.37,
249,default,0.97069734,0.60447761,
250,default,0.987867,0.36666667,
251,default,0.89551557,0.68627451,
252,default,0.94401338,0.28076923,
253,default,0.93689198,0.53020134,
254,default,0.85683119,0.74782609,
255,default,0.87746573,0.8,
256,default,0.95286504,0.1744186,
257,default,0.92147923,0.44565217,
258,default,0.97514208,0.69896194,
259,default,0.90280297,0.33732535,
260,default,0.82576778,0.46363636,
261,default,0.93677565,0.46236559,
262,default,0.92975833,0.4300885,
263,default,0.91031066,0.75837743,
264,default,0.89988298,0.74861878,
265,default,0.95046923,0.058201058,
266,default,0.83430681,0.70881226,
267,default,0.93656322,0.5516129,
268,default,0.96137766,0.75766871,
269,default,0.95222589,0.32075472,
270,default,0.94455038,0.53144016,
271,default,0.9255742,0.92,
272,default,0.89717225,0.64545455,
273,default,1,0.71428571,
274,default,0.90796535,0.67582418,
275,default,0.94104549,0.071428571,
276,default,0.94440998,0.32136106,
277,default,0.79288433,0.62827225,
278,default,0.89484407,0.73846154,
279,default,0.83713137,0.42519685,
280,default,0.96994468,0.31990521,
281,default,0.95573905,0.60869565,
282,default,0.90743553,0.52280702,
283,default,0.93705958,0.051020408,
284,default,0.88405147,0.71314741,
285,default,,,
286,default,0.94069745,0.35917313,
287,default,0.73330834,0.70432692,
288,default,0.91313035,0.59388646,
289,default,0.96082558,0.60220994,
290,default,0.92995323,0.061320755,
291,default,0.90984614,0.72747253,
292,default,0.90519613,0.43290043,
293,default,0.95086584,0.10454545,
294,default,0.98182773,0.37288136,
295,default,0.94273296,0.296875,
296,default,0.88621569,0.54276316,
297,default,0.90919204,0.30769231,
298,default,0.89040941,0.93791946,
299,default,0.93249236,0.39130435,
300,default,0.95449333,0.77142857,
301,default,0.86557383,0.35211268,
302,default,0.9070703,0.26108374,
303,default,0.93518796,0.85652174,
304,default,0.99441177,0.39130435,
305,default,0.95729971,0.70103093,
306,default,0.92292651,0.83225806,
307,default,0.9347418,0.39690722,
308,default,0.9188756,0.15615616,
309,default,0.92992224,0.5830721,
310,default,0.92147866,0.40196078,
311,default,0.93774831,0.55555556,
312,default,0.95120257,0.79534884,
313,default,0.92849946,0.41176471,
314,default,0.86867836,0.65953947,
315,default,0.89447378,0.74444444,
316,default,0.90586383,0.35014837,
317,default,0.90523593,0.32510288,
318,default,0.88107891,0.78846154,
319,default,0.91046335,0.4,
320,default,0.92431856,0.1417004,
321,default,0.87774011,0.47857143,
322,default,0.88206021,0.48928571,
323,default,0.8970615,0.48245614,
324,default,0.95778445,0.62903226,
325,default,0.95632566,0.42490119,
326,default,0.82321584,0.67605634,
327,default,0.96875111,0.73856209,
328,default,0.89912576,0.087378641,
329,default,0.93300392,0.70351759,
330,default,0.92054296,0.68472906,
331,default,0.98058076,0.079365079,
332,default,0.8829415,0.31578947,
333,default,0.92952905,0.52232143,
334,default,0.95142034,0.15192744,
335,default,,,
336,default,0.93900339,0.20083682,
337,default,0.90628702,0.82485876,
338,default,0.93625228,0.58928571,
339,default,0.94823125,0.44444444,
340,default,0.92290076,0.2084507,
341,default,0.88293995,0.7808,
342,default,1,0.25,
343,default,0.74040358,0.63414634,
344,default,0.94714402,0.62171053,
345,default,0.91583281,0.58461538,
346,default,0.88887589,0.80877743,
347,default,0.92253894,0.13609467,
348,default,1,0.77777778,
349,default,0.85700425,0.63486842,
350,default,0.88039131,0.31306991,
351,default,0.92410036,0.60536398,
352,default,0.95688962,0.42857143,
353,default,0.8470785,0.96,
354,default,0.95683617,0.68587361,
355,default,0.96297654,0.86031746,
356,default,0.66042484,0.39393939,
357,default,0.94012669,0.31627907,
358,default,0.91773146,0.24731183,
359,default,0.96059297,0.12177986,
360,default,0.90312435,0.60869565,
361,default,0.9088499,0.39857651,
362,default,0.95669394,0.04028436,
363,default,0.86727502,0.73658537,
364,default,0.92817084,0.43076923,
365,default,0.9353038,0.16744186,
366,default,0.98786831,0,
367,default,0.92348923,0.67699115,
368,default,0.9305345,0.13333333,
369,default,0.86861559,0.77232143,
370,default,0.8697424,0.56091371,
371,default,0.91087786,0.40645161,
372,default,0.84786599,0.6319797,
373,default,0.87936431,0.80664653,
374,default,0.93193929,0.47333333,
375,default,0.84312691,0.65925926,
376,default,0.97734246,0.35051546,
377,default,0.96187968,0.40285714,
378,default,0.93711328,0.6,
379,default,0.92915415,0.36682809,
380,default,0.86297829,0.21621622,
381,default,0.8997919,0.50200803,
382,default,0.93808879,0.06741573,
383,default,0.95712784,0.87096774,
384,default,0.96307181,0.4496124,
385,default,0.96802399,0.94186047,
386,default,0.94992242,0.96039604,
387,default,0.87828321,0.46560847,
388,default,0.91628612,0.2320442,
389,default,0.84185678,0.9010989,
390,default,0.95520441,0.17460317,
391,default,0.97787657,0.70491803,
392,default,0.99441177,0.30434783,
393,default,0.97162124,0.53921569,
394,default,0.83599644,0.44736842,
395,default,0.94047277,0.68656716,
396,default,0.84684122,0.8,
397,default,0.74438906,0.51260504,
398,default,0.9535608,0.4875,
399,default,0.95054175,0.45675676,
400,default,0.92875986,0.34730539,
401,default,0.92801366,0.70813397,
402,default,0.90992225,0.7734139,
403,default,0.82357152,0.85443038,
404,default,0.88617775,0.4566474,
405,default,0.95951444,0.29813665,
406,default,0.97924038,0.675,
407,default,0.93328235,0.72727273,
408,default,0.94234307,0.8372093,
409,default,0.94127608,0.90455531,
410,default,0.8763865,0.5177305,
411,default,0.86638676,0.77087794,
412,default,0.78851799,0.54716981,
413,default,0.88684504,0.91584158,
414,default,0.92772572,0.39714286,
415,default,0.94758406,0.55369928,
416,default,0.85452783,0.8707483,
417,default,,,
418,default,0.92403918,0.21461187,
419,default,0.9720535,0.24725275,
420,default,0.86766342,0.23170732,
421,default,0.89236109,0.40428571,
422,default,0.90319965,0.63694268,
423,default,0.9399154,0.96666667,
424,default,0.94651147,0.9,
425,default,1,0.6,
426,default,0.91363898,0.1242236,
427,default,0.9097624,0.8280543,
428,default,0.93182711,0.45263158,
429,default,0.88756419,0.8952381,
430,default,0.94329575,0.33646322,
431,default,0.93845089,0.34722222,
432,default,0.90757353,0.39042821,
433,default,0.88907425,0.79525223,
434,default,0.84709554,0.70224719,
435,default,0.9844024,0.11666667,
436,default,0.8097913,0.45535714,
437,default,0.9289797,0.28192771,
438,default,0.76835567,0.42857143,
439,default,0.84196607,0.75784753,
440,default,0.89086305,0.52136752,
441,default,0.96117946,0.55747126,
442,default,0.93829188,0.55924171,
443,default,0.92717402,0.2033543,
444,default,0.91634887,0.64646465,
445,default,0.91868006,0.36,
446,default,0.80725881,0.46619217,
447,default,0.95047434,0.14583333,
448,default,0.90053573,0.11875,
449,default,0.90372425,0.27076923,
450,default,0.94453402,0.074766355,
451,default,0.9727735,0.83653846,
452,default,0.89370639,0.74675325,
453,default,0.87838736,0.14634146,
454,default,0.85771667,0.55111111,
455,default,,,
456,default,0.93701307,0.29078014,
457,default,0.94895118,0.62258065,
458,default,0.92864946,0.19095477,
459,default,1,0.33333333,
460,default,0.90368835,0.85643564,
461,default,0.92511197,0.6635514,
462,default,0.86289804,0.31914894,
463,default,,,
464,default,0.93906167,0.59207459,
465,default,0.95963939,0.5483871,
466,default,0.91508428,0.34634146,
467,default,0.92669878,0.81219512,
468,default,0.91534891,0.23690205,
469,default,0.88790403,0.48387097,
470,default,0.88542448,0.9047619,
471,default,0.86794884,0.60933661,
472,default,0.91981505,0.73654391,
473,default,0.99656067,0.76315789,
474,default,0.95069948,0.65500795,
475,default,0.93400916,0.26976744,
476,default,0.91507327,0.051724138,
477,default,0.89410223,0.57785467,
478,default,0.97986397,0.090909091,
479,default,0.97432668,0.98507463,
480,default,0.85878834,0.8556391,
481,default,0.84688018,0.20930233,
482,default,0.87706253,0.74936061,
483,default,0.79845668,0.79518072,
484,default,0.84985858,0.34459459,
485,default,0.962689,0.43589744,
486,default,0.91852196,0.35746606,
487,default,0.85253129,0.75294118,
488,default,0.95210966,0.75,
489,default,0.80403188,0.70588235,
490,default,0.94463365,0.04589372,
491,default,0.93125752,0.175,
492,default,0.95496503,0.10377358,
493,default,0.87283678,0.93137255,
494,default,0.9766703,0.64596273,
495,default,0.97083759,0.33707865,
496,default,0.81279927,0.29545455,
497,default,0.92733347,0.61056106,
498,default,0.94965779,0.92467532,
499,default,0.93780539,0.27532468,
500,default,0.90405694,0.46666667,
501,default,0.95167228,0.23783784,
502,default,0.94802901,0.17559524,
503,default,0.96958434,0.80434783,
504,default,0.86555872,0.42283951,
505,default,0.93719131,0.32450331,
506,default,0.89031868,0.20698925,
507,default,0.89718826,0.67149758,
508,default,0.98277764,0.40816327,
509,default,0.89384051,0.8791423,
510,default,0.82435067,0.90410959,
511,default,0.90380319,0.56043956,
512,default,0.96438717,0.031578947,
513,default,0.91702176,0.30693069,
514,default,0.93389332,0.32676056,
515,default,0.94937863,0.13247863,
516,default,0.98122458,0.49206349,
517,default,0.93102552,0.74722222,
518,default,0.95742333,0.43984962,
519,default,0.90987668,0.63815789,
520,default,0.94094685,0.5862069,
521,default,0.95452973,0.077689243,
522,default,0.94015118,0.063520871,
523,default,0.9415402,0.31891892,
524,default,0.94510177,0.45614035,
525,default,0.89679278,0.27777778,
526,default,0.90933025,0.1212938,
527,default,0.92224485,0.25268817,
528,default,0.92190445,0.84375,
529,default,0.92175067,0.29090909,
530,default,0.91361098,0.60732984,
531,default,0.8681249,0.6372315,
532,default,0.87936929,0.75182482,
533,default,1,1,
534,default,0.94938755,0.56756757,
535,default,0.91293345,0.4254386,
536,default,0.95968898,0.1980198,
537,default,0.93403179,0.40243902,
538,default,0.91896821,0.63229572,
539,default,0.85302294,0.8328841,
540,default,0.97660861,0.43442623,
541,default,0.91506386,0.30730051,
542,default,0.82467816,0.90939597,
543,default,0.9078999,0.57746479,
544,default,0.93876761,0.14814815,
