seed,pin_set,granary-raid-phase-concentration,granary-raids-in-depleted-half,refusal
821,default,0.8908117,0.45934066,
822,default,0.95083469,0.32608696,
823,default,0.84344442,0.62616822,
824,default,0.93148976,0.61244019,
825,default,0.96695984,0.65238095,
826,default,0.92095608,0.37949836,
827,default,0.93918474,0.42105263,
828,default,0.7858349,0.82987552,
829,default,0.80750486,0.66412214,
830,default,0.93411223,0.43478261,
831,default,0.88811694,0.6557377,
832,default,0.95974228,0.10821643,
833,default,0.91923515,0.5,
834,default,0.95242535,0.13189448,
835,default,0.85651291,0.74193548,
836,default,0.88290465,0.18115942,
837,default,0.91909108,0.50403226,
838,default,0.90554307,0.22434368,
839,default,0.91639135,0.67241379,
840,default,0.92565033,0.89805825,
841,default,0.93242637,0.75862069,
842,default,0.90184995,0.93333333,
843,default,0.93424322,0.18019481,
844,default,0.89699087,0.074074074,
845,default,0.85968785,0.5,
846,default,0.82131189,0.68067227,
847,default,0.97099529,0.29032258,
848,default,0.89334568,0.364,
849,default,0.97482211,0.5,
850,default,0.94009664,0.053061224,
851,default,0.97314059,0.60106383,
852,default,0.88590143,0.92328767,
853,default,0.94629841,0.083969466,
854,default,0.8508975,0.76086957,
855,default,0.92606108,0.65320665,
856,default,0.88259432,0.18604651,
857,default,0.92579495,0.90056818,
858,default,0.89646407,0.50379747,
859,default,0.93694649,0.54385965,
860,default,0.93342902,0.19298246,
861,default,0.97947416,0.26315789,
862,default,0.93527803,0.43434343,
863,default,0.80110087,0.61424332,
864,default,0.96802351,0.070866142,
865,default,0.94617913,0.24637681,
866,default,0.94298751,0.33695652,
867,default,0.99135887,0.20689655,
868,default,0.89273447,0.60930233,
869,default,0.96868973,0.37,
870,default,0.96419532,0.057142857,
871,default,0.99520952,0.62962963,
872,default,0.90554279,0.8,
873,default,0.90982577,0.13354037,
874,default,0.88156407,0.425,
875,default,0.92418806,0.14027149,
876,default,0.96671529,0.13930348,
877,default,0.90330658,0.71428571,
878,default,0.94743554,0.28278689,
879,default,0.91440165,0.57322176,
880,default,0.92000289,0.28133705,
881,default,0.85675938,0.92896175,
882,default,0.85109921,0.51612903,
883,default,0.9668491,0.20909091,
884,default,0.91777239,0.45901639,
885,default,0.87774333,0.77009646,
886,default,0.7885899,0.45652174,
887,default,0.73094848,0.73786408,
888,default,0.97945235,0.48192771,
889,default,0.94674862,0.72222222,
890,default,0.91759015,0.97752809,
891,default,0.98676611,0.43243243,
892,default,0.8107516,0.31983806,
893,default,0.96733944,0.13956466,
894,default,0.8137902,0.89387755,
895,default,0.79324437,0.65925926,
896,default,0.9351419,0.55026455,
897,default,0.92173843,0.25384615,
898,default,0.92910228,0.70833333,
899,default,0.94703719,0.22047244,
900,default,0.94895422,0.15957447,
901,default,0.85511786,0.67942584,
902,default,0.98908844,0.33333333,
903,default,0.95031671,0.58088235,
904,default,0.93661934,0.76041667,
905,default,0.91723139,0.65697674,
906,default,0.96944679,0.32432432,
907,default,0.88538107,0.45736434,
908,default,0.96033768,0.24085366,
909,default,0.91453088,0.15957447,
910,default,0.99135887,0.32758621,
911,default,0.86893611,0.30935252,
912,default,0.96646298,0.11843575,
913,default,0.80182957,0.56153846,
914,default,0.84850431,0.46551724,
915,default,0.86612641,0.85365854,
916,default,0.92089538,0.46868687,
917,default,0.92958907,0.42982456,
918,default,0.96014845,0.23790323,
919,default,0.85135608,0.78571429,
920,default,0.88646878,0.4950495,
921,default,0.92425986,0.29020979,
922,default,1,0.7,
923,default,0.95290286,0.029411765,
924,default,0.8931033,0.38,
925,default,0.91457952,0.77483444,
926,default,0.9291171,0.74545455,
927,default,0.97951972,0.048672566,
928,default,0.96482547,0.11255411,
929,default,0.85766822,0.33098592,
930,default,0.85520151,0.78985507,
931,default,0.91226969,0.25806452,
932,default,0.56387674,0.65168539,
933,default,0.95383754,0.4765625,
934,default,0.8543331,0.90273556,
935,default,0.92435196,0.13114754,
936,default,0.96428041,0.70786517,
937,default,0.88044616,0.80952381,
938,default,0.92892484,0.37777778,
939,default,0.89006876,0.5,
940,default,0.9235968,0.74183007,
941,default,0.94656416,0.71571072,
942,default,0.89711981,0.39473684,
943,default,0.85608688,0.26582278,
944,default,0.9439313,0.053921569,
945,default,0.9356686,0.39552239,
946,default,0.96653453,0.13729977,
947,default,0.85066072,0.31666667,
948,default,0.95018468,0.20348837,
949,default,0.92383923,0.91814947,
950,default,0.81526022,0.54104478,
951,default,0.96295062,0.86072423,
952,default,,,
953,default,0.8445184,0.8587156,
954,default,0.91441965,0.41987179,
955,default,0.94552041,0.4075067,
956,default,0.96651846,0.58208955,
957,default,1,0.375,
958,default,0.95518675,0.67123288,
959,default,0.90014314,0.48559671,
960,default,0.96880876,0.41011236,
961,default,0.68921416,0.69668246,
962,default,0.84213758,0.63636364,
963,default,0.94487789,0.15813953,
964,default,0.91972941,0.68382353,
965,default,0.89806424,0.18181818,
966,default,0.95740658,0.89351852,
967,default,0.94931409,0.52631579,
968,default,0.92997946,0.2761194,
969,default,0.87771385,0.37096774,
970,default,0.9314183,0.83221477,
971,default,0.77606083,0.47328244,
972,default,0.93685532,0.40963855,
973,default,0.91763307,0.57465278,
974,default,0.93616907,0.55479452,
975,default,0.95159835,0.4469697,
976,default,0.88695304,0.51105651,
977,default,0.91307901,0.45564516,
978,default,0.89577828,0.63135593,
979,default,0.96560848,0.51818182,
980,default,0.87452507,0.78571429,
981,default,0.93458754,0.75409836,
982,default,0.8957249,0.43181818,
983,default,1,0.16666667,
984,default,0.86152979,0.5,
985,default,0.90816458,0.95759717,
986,default,0.86930193,0.8466899,
987,default,0.97636954,0.15384615,
988,default,0.93489129,0.43661972,
989,default,0.89887279,0.70857143,
990,default,0.86393422,0.43529412,
991,default,0.92199682,0.45853659,
992,default,0.90080207,0.53982301,
993,default,0.87121035,0.85416667,
994,default,0.90715876,0.23049645,
995,default,0.9210847,0.36363636,
996,default,0.92875424,0.36993243,
997,default,0.94541634,0.70090634,
998,default,0.82158086,0.82568807,
999,default,0.90580941,0.75974026,
