seed,pin_set,name-pattern-signatures,peoples-placed,name-people-recoverability,name-prefix-settlement-scope,name-prefix-region-scope,name-prefix-region-full-stack,refusal
131,default,,,,1,1,0.47272727,
132,default,4,5,0.6,1,1,0.16972973,
133,default,4,5,0.6,0.9792498,1,0.39664804,
134,default,4,5,0.6,1,1,0.33108108,
135,default,4,5,0.6,0.99738903,1,0.30548303,
136,default,4,5,0.6,0.99238303,1,0.65560392,
137,default,4,5,0.6,1,1,0.037344398,
138,default,,,,1,1,0.66666667,
139,default,4,5,0.6,1,1,0.43166667,
140,default,,,,1,1,0.52380952,
141,default,4,5,0.6,0.98609179,1,0.418637,
142,default,4,5,0.6,1,1,0.86363636,
143,default,,,,1,1,0.52631579,
144,default,4,5,0.6,0.9125,2,0.7875,
145,default,4,5,0.6,0.9980315,1,0.18996063,
146,default,4,5,0.6,1,1,0.19196866,
147,default,4,5,0.6,1,1,0.20051414,
148,default,4,5,0.6,1,1,0.39456961,
149,default,,,,1,1,0.64285714,
150,default,,,,1,1,0.33333333,
151,default,4,5,0.6,0.99431495,1,0.53098351,
152,default,4,5,0.6,0.99690402,1,0.17647059,
153,default,4,5,0.6,0.99337992,1,0.35454211,
154,default,4,5,0.6,0.99744898,1,0.30357143,
155,default,4,5,0.6,0.98749131,1,0.35649757,
156,default,4,5,0.6,1,1,0.67881242,
157,default,,,,1,1,0.54545455,
158,default,4,5,0.6,0.9978746,1,0.40488842,
159,default,,,,1,1,0.45,
160,default,4,5,0.6,1,1,0.52941176,
161,default,4,5,0.6,1,1,0.19732938,
162,default,4,5,0.6,0.99586777,1,0.17561983,
163,default,4,5,0.6,1,1,0.35714286,
164,default,4,5,0.6,0.99066667,1,0.33466667,
165,default,4,5,0.6,1,1,0.28956229,
166,default,4,5,0.6,0.99615385,1,0.36858974,
167,default,4,5,0.6,0.99606686,1,0.29891839,
168,default,4,5,0.6,1,1,0.086614173,
169,default,4,5,0.6,0.86046512,2,0.6744186,
170,default,,,,1,1,0.53846154,
171,default,4,5,0.6,1,1,0.34707904,
172,default,,,,1,1,0.57142857,
173,default,,,,1,1,0.4375,
174,default,4,5,0.6,1,1,0.64285714,
175,default,,,,1,1,0.23134328,
176,default,,,,1,1,0.13043478,
177,default,,,,1,1,0.47126437,
178,default,,,,1,1,0.48,
179,default,4,5,0.6,0.99759326,1,0.25872443,
180,default,4,5,0.6,1,1,0.58823529,
181,default,4,5,0.6,0.99847793,1,0.10806697,
182,default,4,5,0.6,0.99775112,1,0.44002999,
183,default,4,5,0.6,0.99428027,1,0.26406101,
184,default,4,5,0.6,1,1,0.053333333,
185,default,,,,1,1,0.26666667,
186,default,,,,1,1,0.54166667,
187,default,,,,1,1,0.56666667,
188,default,,,,1,1,0.48275862,
189,default,4,5,0.6,0.98,1,0.41714286,
190,default,4,5,0.6,1,1,0.38252656,
191,default,4,5,0.6,1,1,0.58823529,
192,default,,,,1,1,0.52941176,
193,default,4,5,0.6,1,1,0.30128205,
194,default,4,5,0.6,0.9967923,1,0.1499599,
195,default,,,,1,1,0.47368421,
196,default,4,5,0.6,0.9984985,1,0.083333333,
197,default,,,,1,1,0.24390244,
198,default,4,5,0.6,0.99883923,1,0.36041788,
199,default,4,5,0.6,1,1,0.18465909,
